Id	Desc	Name	SkillDesc	Icon	BaseSkill	LogicID	Quality	Level	NextSkillId	SkillBook	LevelUpExp	SkillUpExp	SkillUpScale	Impact
54014	蓝海神盾14级	蓝海神盾	增加自身守护	ChangGuiJiNeng1	54001	1	1	14	54015	4520	100	10	0.1	1
54015	蓝海神盾15级	蓝海神盾	增加自身守护	ChangGuiJiNeng1	54001	1	1	15	54016	4520	100	10	0.1	1
54016	蓝海神盾16级	蓝海神盾	增加自身守护	ChangGuiJiNeng1	54001	1	1	16	54017	4520	100	10	0.1	1
54017	蓝海神盾17级	蓝海神盾	增加自身守护	ChangGuiJiNeng1	54001	1	1	17	54018	4520	100	10	0.1	1
54018	蓝海神盾18级	蓝海神盾	增加自身守护	ChangGuiJiNeng1	54001	1	1	18	54019	4520	100	10	0.1	1
54019	蓝海神盾19级	蓝海神盾	增加自身守护	ChangGuiJiNeng1	54001	1	1	19	54020	4520	100	10	0.1	1
54020	蓝海神盾20级	蓝海神盾	增加自身守护	ChangGuiJiNeng1	54001	1	1	20	-1	4520	100	10	0.1	1
54101	水流漩涡1级	水流漩涡	增加主人命中	ChangGuiJiNeng1	54101	1	1	1	54102	4520	100	10	0.1	1
54102	水流漩涡2级	水流漩涡	增加主人命中	ChangGuiJiNeng1	54101	1	1	2	54103	4520	100	10	0.1	1
54103	水流漩涡3级	水流漩涡	增加主人命中	ChangGuiJiNeng1	54101	1	1	3	54104	4520	100	10	0.1	1
54104	水流漩涡4级	水流漩涡	增加主人命中	ChangGuiJiNeng1	54101	1	1	4	54105	4520	100	10	0.1	1
54105	水流漩涡5级	水流漩涡	增加主人命中	ChangGuiJiNeng1	54101	1	1	5	54106	4520	100	10	0.1	1
54106	水流漩涡6级	水流漩涡	增加主人命中	ChangGuiJiNeng1	54101	1	1	6	54107	4520	100	10	0.1	1
54107	水流漩涡7级	水流漩涡	增加主人命中	ChangGuiJiNeng1	54101	1	1	7	54108	4520	100	10	0.1	1
54108	水流漩涡8级	水流漩涡	增加主人命中	ChangGuiJiNeng1	54101	1	1	8	54109	4520	100	10	0.1	1
54109	水流漩涡9级	水流漩涡	增加主人命中	ChangGuiJiNeng1	54101	1	1	9	54110	4520	100	10	0.1	1
54110	水流漩涡10级	水流漩涡	增加主人命中	ChangGuiJiNeng1	54101	1	1	10	54111	4520	100	10	0.1	1
54111	水流漩涡11级	水流漩涡	增加主人命中	ChangGuiJiNeng1	54101	1	1	11	54112	4520	100	10	0.1	1
54112	水流漩涡12级	水流漩涡	增加主人命中	ChangGuiJiNeng1	54101	1	1	12	54113	4520	100	10	0.1	1
54113	水流漩涡13级	水流漩涡	增加主人命中	ChangGuiJiNeng1	54101	1	1	13	54114	4520	100	10	0.1	1
54114	水流漩涡14级	水流漩涡	增加主人命中	ChangGuiJiNeng1	54101	1	1	14	54115	4520	100	10	0.1	1
54115	水流漩涡15级	水流漩涡	增加主人命中	ChangGuiJiNeng1	54101	1	1	15	54116	4520	100	10	0.1	1
54116	水流漩涡16级	水流漩涡	增加主人命中	ChangGuiJiNeng1	54101	1	1	16	54117	4520	100	10	0.1	1
54117	水流漩涡17级	水流漩涡	增加主人命中	ChangGuiJiNeng1	54101	1	1	17	54118	4520	100	10	0.1	1
54118	水流漩涡18级	水流漩涡	增加主人命中	ChangGuiJiNeng1	54101	1	1	18	54119	4520	100	10	0.1	1
54119	水流漩涡19级	水流漩涡	增加主人命中	ChangGuiJiNeng1	54101	1	1	19	54120	4520	100	10	0.1	1
54120	水流漩涡20级	水流漩涡	增加主人命中	ChangGuiJiNeng1	54101	1	1	20	-1	4520	100	10	0.1	1
54201	大地祝福1级	大地祝福	增加主人命中	ChangGuiJiNeng1	54201	1	1	1	54202	4520	100	10	0.1	1
54202	大地祝福2级	大地祝福	增加主人命中	ChangGuiJiNeng1	54201	1	1	2	54203	4520	100	10	0.1	1
54203	大地祝福3级	大地祝福	增加主人命中	ChangGuiJiNeng1	54201	1	1	3	54204	4520	100	10	0.1	1
54204	大地祝福4级	大地祝福	增加主人命中	ChangGuiJiNeng1	54201	1	1	4	54205	4520	100	10	0.1	1
54205	大地祝福5级	大地祝福	增加主人命中	ChangGuiJiNeng1	54201	1	1	5	54206	4520	100	10	0.1	1
54206	大地祝福6级	大地祝福	增加主人命中	ChangGuiJiNeng1	54201	1	1	6	54207	4520	100	10	0.1	1
54207	大地祝福7级	大地祝福	增加主人命中	ChangGuiJiNeng1	54201	1	1	7	54208	4520	100	10	0.1	1
54208	大地祝福8级	大地祝福	增加主人命中	ChangGuiJiNeng1	54201	1	1	8	54209	4520	100	10	0.1	1
54209	大地祝福9级	大地祝福	增加主人命中	ChangGuiJiNeng1	54201	1	1	9	54210	4520	100	10	0.1	1
54210	大地祝福10级	大地祝福	增加主人命中	ChangGuiJiNeng1	54201	1	1	10	54211	4520	100	10	0.1	1
54211	大地祝福11级	大地祝福	增加主人命中	ChangGuiJiNeng1	54201	1	1	11	54212	4520	100	10	0.1	1
54212	大地祝福12级	大地祝福	增加主人命中	ChangGuiJiNeng1	54201	1	1	12	54213	4520	100	10	0.1	1
54213	大地祝福13级	大地祝福	增加主人命中	ChangGuiJiNeng1	54201	1	1	13	54214	4520	100	10	0.1	1
54214	大地祝福14级	大地祝福	增加主人命中	ChangGuiJiNeng1	54201	1	1	14	54215	4520	100	10	0.1	1
54215	大地祝福15级	大地祝福	增加主人命中	ChangGuiJiNeng1	54201	1	1	15	54216	4520	100	10	0.1	1
54216	大地祝福16级	大地祝福	增加主人命中	ChangGuiJiNeng1	54201	1	1	16	54217	4520	100	10	0.1	1
54217	大地祝福17级	大地祝福	增加主人命中	ChangGuiJiNeng1	54201	1	1	17	54218	4520	100	10	0.1	1
54218	大地祝福18级	大地祝福	增加主人命中	ChangGuiJiNeng1	54201	1	1	18	54219	4520	100	10	0.1	1
54219	大地祝福19级	大地祝福	增加主人命中	ChangGuiJiNeng1	54201	1	1	19	54220	4520	100	10	0.1	1
54220	大地祝福20级	大地祝福	增加主人命中	ChangGuiJiNeng1	54201	1	1	20	-1	4520	100	10	0.1	1
54301	地脉觉醒1级	地脉觉醒	增加自身守护	ChangGuiJiNeng1	54301	1	1	1	54302	4520	100	10	0.1	1
54302	地脉觉醒2级	地脉觉醒	增加自身守护	ChangGuiJiNeng1	54301	1	1	2	54303	4520	100	10	0.1	1
54303	地脉觉醒3级	地脉觉醒	增加自身守护	ChangGuiJiNeng1	54301	1	1	3	54304	4520	100	10	0.1	1
54304	地脉觉醒4级	地脉觉醒	增加自身守护	ChangGuiJiNeng1	54301	1	1	4	54305	4520	100	10	0.1	1
54305	地脉觉醒5级	地脉觉醒	增加自身守护	ChangGuiJiNeng1	54301	1	1	5	54306	4520	100	10	0.1	1
54306	地脉觉醒6级	地脉觉醒	增加自身守护	ChangGuiJiNeng1	54301	1	1	6	54307	4520	100	10	0.1	1
54307	地脉觉醒7级	地脉觉醒	增加自身守护	ChangGuiJiNeng1	54301	1	1	7	54308	4520	100	10	0.1	1
54308	地脉觉醒8级	地脉觉醒	增加自身守护	ChangGuiJiNeng1	54301	1	1	8	54309	4520	100	10	0.1	1
54309	地脉觉醒9级	地脉觉醒	增加自身守护	ChangGuiJiNeng1	54301	1	1	9	54310	4520	100	10	0.1	1
54310	地脉觉醒10级	地脉觉醒	增加自身守护	ChangGuiJiNeng1	54301	1	1	10	54311	4520	100	10	0.1	1
54311	地脉觉醒11级	地脉觉醒	增加自身守护	ChangGuiJiNeng1	54301	1	1	11	54312	4520	100	10	0.1	1
54312	地脉觉醒12级	地脉觉醒	增加自身守护	ChangGuiJiNeng1	54301	1	1	12	54313	4520	100	10	0.1	1
54313	地脉觉醒13级	地脉觉醒	增加自身守护	ChangGuiJiNeng1	54301	1	1	13	54314	4520	100	10	0.1	1
54314	地脉觉醒14级	地脉觉醒	增加自身守护	ChangGuiJiNeng1	54301	1	1	14	54315	4520	100	10	0.1	1
54315	地脉觉醒15级	地脉觉醒	增加自身守护	ChangGuiJiNeng1	54301	1	1	15	54316	4520	100	10	0.1	1
54316	地脉觉醒16级	地脉觉醒	增加自身守护	ChangGuiJiNeng1	54301	1	1	16	54317	4520	100	10	0.1	1
54317	地脉觉醒17级	地脉觉醒	增加自身守护	ChangGuiJiNeng1	54301	1	1	17	54318	4520	100	10	0.1	1
54318	地脉觉醒18级	地脉觉醒	增加自身守护	ChangGuiJiNeng1	54301	1	1	18	54319	4520	100	10	0.1	1
54319	地脉觉醒19级	地脉觉醒	增加自身守护	ChangGuiJiNeng1	54301	1	1	19	54320	4520	100	10	0.1	1
54320	地脉觉醒20级	地脉觉醒	增加自身守护	ChangGuiJiNeng1	54301	1	1	20	-1	4520	100	10	0.1	1
54401	坚岩庇护1级	坚岩庇护	增加主人防御	ChangGuiJiNeng1	54401	1	1	1	54402	4520	100	10	0.1	1
54402	坚岩庇护2级	坚岩庇护	增加主人防御	ChangGuiJiNeng1	54401	1	1	2	54403	4520	100	10	0.1	1
54403	坚岩庇护3级	坚岩庇护	增加主人防御	ChangGuiJiNeng1	54401	1	1	3	54404	4520	100	10	0.1	1
54404	坚岩庇护4级	坚岩庇护	增加主人防御	ChangGuiJiNeng1	54401	1	1	4	54405	4520	100	10	0.1	1
54405	坚岩庇护5级	坚岩庇护	增加主人防御	ChangGuiJiNeng1	54401	1	1	5	54406	4520	100	10	0.1	1
54406	坚岩庇护6级	坚岩庇护	增加主人防御	ChangGuiJiNeng1	54401	1	1	6	54407	4520	100	10	0.1	1
54407	坚岩庇护7级	坚岩庇护	增加主人防御	ChangGuiJiNeng1	54401	1	1	7	54408	4520	100	10	0.1	1
54408	坚岩庇护8级	坚岩庇护	增加主人防御	ChangGuiJiNeng1	54401	1	1	8	54409	4520	100	10	0.1	1
54409	坚岩庇护9级	坚岩庇护	增加主人防御	ChangGuiJiNeng1	54401	1	1	9	54410	4520	100	10	0.1	1
54410	坚岩庇护10级	坚岩庇护	增加主人防御	ChangGuiJiNeng1	54401	1	1	10	54411	4520	100	10	0.1	1
54411	坚岩庇护11级	坚岩庇护	增加主人防御	ChangGuiJiNeng1	54401	1	1	11	54412	4520	100	10	0.1	1
54412	坚岩庇护12级	坚岩庇护	增加主人防御	ChangGuiJiNeng1	54401	1	1	12	54413	4520	100	10	0.1	1
54413	坚岩庇护13级	坚岩庇护	增加主人防御	ChangGuiJiNeng1	54401	1	1	13	54414	4520	100	10	0.1	1
54414	坚岩庇护14级	坚岩庇护	增加主人防御	ChangGuiJiNeng1	54401	1	1	14	54415	4520	100	10	0.1	1
54415	坚岩庇护15级	坚岩庇护	增加主人防御	ChangGuiJiNeng1	54401	1	1	15	54416	4520	100	10	0.1	1
54416	坚岩庇护16级	坚岩庇护	增加主人防御	ChangGuiJiNeng1	54401	1	1	16	54417	4520	100	10	0.1	1
54417	坚岩庇护17级	坚岩庇护	增加主人防御	ChangGuiJiNeng1	54401	1	1	17	54418	4520	100	10	0.1	1
54418	坚岩庇护18级	坚岩庇护	增加主人防御	ChangGuiJiNeng1	54401	1	1	18	54419	4520	100	10	0.1	1
54419	坚岩庇护19级	坚岩庇护	增加主人防御	ChangGuiJiNeng1	54401	1	1	19	54420	4520	100	10	0.1	1
54420	坚岩庇护20级	坚岩庇护	增加主人防御	ChangGuiJiNeng1	54401	1	1	20	-1	4520	100	10	0.1	1
54501	地之原力1级	地之原力	增加自身加持	ChangGuiJiNeng1	54501	1	1	1	54502	4520	100	10	0.1	1
54502	地之原力2级	地之原力	增加自身加持	ChangGuiJiNeng1	54501	1	1	2	54503	4520	100	10	0.1	1
54503	地之原力3级	地之原力	增加自身加持	ChangGuiJiNeng1	54501	1	1	3	54504	4520	100	10	0.1	1
54504	地之原力4级	地之原力	增加自身加持	ChangGuiJiNeng1	54501	1	1	4	54505	4520	100	10	0.1	1
54505	地之原力5级	地之原力	增加自身加持	ChangGuiJiNeng1	54501	1	1	5	54506	4520	100	10	0.1	1
54506	地之原力6级	地之原力	增加自身加持	ChangGuiJiNeng1	54501	1	1	6	54507	4520	100	10	0.1	1
54507	地之原力7级	地之原力	增加自身加持	ChangGuiJiNeng1	54501	1	1	7	54508	4520	100	10	0.1	1
54508	地之原力8级	地之原力	增加自身加持	ChangGuiJiNeng1	54501	1	1	8	54509	4520	100	10	0.1	1
54509	地之原力9级	地之原力	增加自身加持	ChangGuiJiNeng1	54501	1	1	9	54510	4520	100	10	0.1	1
54510	地之原力10级	地之原力	增加自身加持	ChangGuiJiNeng1	54501	1	1	10	54511	4520	100	10	0.1	1
54511	地之原力11级	地之原力	增加自身加持	ChangGuiJiNeng1	54501	1	1	11	54512	4520	100	10	0.1	1
54512	地之原力12级	地之原力	增加自身加持	ChangGuiJiNeng1	54501	1	1	12	54513	4520	100	10	0.1	1
54513	地之原力13级	地之原力	增加自身加持	ChangGuiJiNeng1	54501	1	1	13	54514	4520	100	10	0.1	1
54514	地之原力14级	地之原力	增加自身加持	ChangGuiJiNeng1	54501	1	1	14	54515	4520	100	10	0.1	1
54515	地之原力15级	地之原力	增加自身加持	ChangGuiJiNeng1	54501	1	1	15	54516	4520	100	10	0.1	1
54516	地之原力16级	地之原力	增加自身加持	ChangGuiJiNeng1	54501	1	1	16	54517	4520	100	10	0.1	1
54517	地之原力17级	地之原力	增加自身加持	ChangGuiJiNeng1	54501	1	1	17	54518	4520	100	10	0.1	1
54518	地之原力18级	地之原力	增加自身加持	ChangGuiJiNeng1	54501	1	1	18	54519	4520	100	10	0.1	1
54519	地之原力19级	地之原力	增加自身加持	ChangGuiJiNeng1	54501	1	1	19	54520	4520	100	10	0.1	1
54520	地之原力20级	地之原力	增加自身加持	ChangGuiJiNeng1	54501	1	1	20	-1	4520	100	10	0.1	1
54601	大地之母1级	大地之母	增加主人生命上限	ChangGuiJiNeng1	54601	1	1	1	54602	4520	100	10	0.1	1
54602	大地之母2级	大地之母	增加主人生命上限	ChangGuiJiNeng1	54601	1	1	2	54603	4520	100	10	0.1	1
54603	大地之母3级	大地之母	增加主人生命上限	ChangGuiJiNeng1	54601	1	1	3	54604	4520	100	10	0.1	1
54604	大地之母4级	大地之母	增加主人生命上限	ChangGuiJiNeng1	54601	1	1	4	54605	4520	100	10	0.1	1
54605	大地之母5级	大地之母	增加主人生命上限	ChangGuiJiNeng1	54601	1	1	5	54606	4520	100	10	0.1	1
54606	大地之母6级	大地之母	增加主人生命上限	ChangGuiJiNeng1	54601	1	1	6	54607	4520	100	10	0.1	1
54607	大地之母7级	大地之母	增加主人生命上限	ChangGuiJiNeng1	54601	1	1	7	54608	4520	100	10	0.1	1
54608	大地之母8级	大地之母	增加主人生命上限	ChangGuiJiNeng1	54601	1	1	8	54609	4520	100	10	0.1	1
54609	大地之母9级	大地之母	增加主人生命上限	ChangGuiJiNeng1	54601	1	1	9	54610	4520	100	10	0.1	1
54610	大地之母10级	大地之母	增加主人生命上限	ChangGuiJiNeng1	54601	1	1	10	54611	4520	100	10	0.1	1
54611	大地之母11级	大地之母	增加主人生命上限	ChangGuiJiNeng1	54601	1	1	11	54612	4520	100	10	0.1	1
54612	大地之母12级	大地之母	增加主人生命上限	ChangGuiJiNeng1	54601	1	1	12	54613	4520	100	10	0.1	1
54613	大地之母13级	大地之母	增加主人生命上限	ChangGuiJiNeng1	54601	1	1	13	54614	4520	100	10	0.1	1
54614	大地之母14级	大地之母	增加主人生命上限	ChangGuiJiNeng1	54601	1	1	14	54615	4520	100	10	0.1	1
54615	大地之母15级	大地之母	增加主人生命上限	ChangGuiJiNeng1	54601	1	1	15	54616	4520	100	10	0.1	1
54616	大地之母16级	大地之母	增加主人生命上限	ChangGuiJiNeng1	54601	1	1	16	54617	4520	100	10	0.1	1
54617	大地之母17级	大地之母	增加主人生命上限	ChangGuiJiNeng1	54601	1	1	17	54618	4520	100	10	0.1	1
54618	大地之母18级	大地之母	增加主人生命上限	ChangGuiJiNeng1	54601	1	1	18	54619	4520	100	10	0.1	1
54619	大地之母19级	大地之母	增加主人生命上限	ChangGuiJiNeng1	54601	1	1	19	54620	4520	100	10	0.1	1
54620	大地之母20级	大地之母	增加主人生命上限	ChangGuiJiNeng1	54601	1	1	20	-1	4520	100	10	0.1	1
