Id	Name	ResPath	Scale	BindPointL_PutOn	LeftRotX	LeftRotY	LeftRotZ	BindPointR_PutOn	RightRotX	RightRotY	RightRotZ	LWeaponBindPointPath	RWeaponBindPointPath	WeaponEffect01	WeaponEffect02	BindPointL_PutOff	LeftPosX_PutOff	LeftPosY_PutOff	LeftPosZ_PutOff	LeftRotX_PutOff	LeftRotY_PutOff	LeftRotZ_PutOff	BindPointR_PutOff	RightPosX_PutOff	RightPosY_PutOff	RightPosZ_PutOff	RightRotX_PutOff	RightRotY_PutOff	RightRotZ_PutOff
109	弓箭手武器3	Bow_003_001	1	Weapon_L	0	0	0	Weapon_R	0	0	0	Test	Test	-1	-1	CenterPoint	0	0	0	0	0	0	CenterPoint	0	0	0	0	0	0
110	弓箭手武器4	Bow_004_001	1	Weapon_L	0	0	0	Weapon_R	0	0	0	Test	Test	-1	-1	CenterPoint	0	0	0	0	0	0	CenterPoint	0	0	0	0	0	0
111	弓箭手武器5	Bow_005_001	1	Weapon_L	0	0	0	Weapon_R	0	0	0	Test	Test	-1	-1	CenterPoint	0	0	0	0	0	0	CenterPoint	0	0	0	0	0	0
112	弓箭手武器6	Bow_006_001	1	Weapon_L	0	0	0	Weapon_R	0	0	0	Test	Test	-1	-1	CenterPoint	0	0	0	0	0	0	CenterPoint	0	0	0	0	0	0
113	弓箭手武器7	Bow_007_001	1	Weapon_L	0	0	0	Weapon_R	0	0	0	Test	Test	-1	-1	CenterPoint	0	0	0	0	0	0	CenterPoint	0	0	0	0	0	0
114	弓箭手武器8	Bow_008_001	1	Weapon_L	0	0	0	Weapon_R	0	0	0	Test	Test	-1	-1	CenterPoint	0	0	0	0	0	0	CenterPoint	0	0	0	0	0	0
115	弓箭手武器9	Bow_009_001	1	Weapon_L	0	0	0	Weapon_R	0	0	0	Test	Test	-1	-1	CenterPoint	0	0	0	0	0	0	CenterPoint	0	0	0	0	0	0
116	弓箭手武器10	Bow_010_001	1	Weapon_L	0	0	0	Weapon_R	0	0	0	Test	Test	-1	-1	CenterPoint	0	0	0	0	0	0	CenterPoint	0	0	0	0	0	0
117	弓箭手PVP变身武器	Bow_B3_001	1	Weapon_L	0	0	0	Weapon_R	0	0	0	Test	Test	-1	-1	CenterPoint	0	0	0	0	0	0	CenterPoint	0	0	0	0	0	0
118	双剑士50武器	Double_005_001	1	Weapon_L	0	0	0	Weapon_R	0	0	0	Test	Test	-1	-1	CenterPoint	-0.461791	-0.0428441	0.135342	346.1468	30.61191	168.8129	CenterPoint	-0.4673373	-0.05259414	-0.1222515	340.2097	331.6473	177.7312
119	双剑士70武器	Double_007_001	1	Weapon_L	0	0	0	Weapon_R	0	0	0	Test	Test	-1	-1	CenterPoint	-0.461791	-0.0428441	0.135342	346.1468	30.61191	168.8129	CenterPoint	-0.4673373	-0.05259414	-0.1222515	340.2097	331.6473	177.7312
120	双剑士80武器	Double_008_001	1	Weapon_L	0	0	0	Weapon_R	0	0	0	Test	Test	-1	-1	CenterPoint	-0.461791	-0.0428441	0.135342	346.1468	30.61191	168.8129	CenterPoint	-0.4673373	-0.05259414	-0.1222515	340.2097	331.6473	177.7312
121	双剑士90武器	Double_009_001	1	Weapon_L	0	0	0	Weapon_R	0	0	0	Test	Test	-1	-1	CenterPoint	-0.461791	-0.0428441	0.135342	346.1468	30.61191	168.8129	CenterPoint	-0.4673373	-0.05259414	-0.1222515	340.2097	331.6473	177.7312
122	双剑士100武器	Double_010_001	1	Weapon_L	0	0	0	Weapon_R	0	0	0	Test	Test	-1	-1	CenterPoint	-0.461791	-0.0428441	0.135342	346.1468	30.61191	168.8129	CenterPoint	-0.4673373	-0.05259414	-0.1222515	340.2097	331.6473	177.7312
