Id	Desc	SceneID	DataID	PosX	PosZ	FaceDirection	GroupID	MutexID	IsHideAndSeekNpc
423	半兽人战士	34	1107	26.69	12.38	0	-1	-1	0
424	半兽人战士	34	1107	25.28	31.22	0	-1	-1	0
425	半兽人战士	34	1107	27.54	17.57	0	-1	-1	0
426	半兽人战士	34	1107	27.75	21.31	0	-1	-1	0
427	里奇莱	34	215	18.61	68.52	1.57	-1	-1	0
428	废墟守卫	34	216	9.43	78.44	-1.57	-1	-1	0
429	里奇莱	39	217	77.87	20.82	-1.57	-1	-1	0
430	转换型B01	39	218	59.63	12.36	1.57	-1	-1	0
431	转换型B01	39	218	58.76	13.73	1.57	-1	-1	0
432	转换型B01	39	218	61.2	12.07	1.57	-1	-1	0
433	转换型B01	39	218	62.08	13.49	1.57	-1	-1	0
434	转换型B01	39	218	63.06	12.61	1.57	-1	-1	0
435	转换型B01	39	218	57.33	14.02	1.57	-1	-1	0
436	转换型B01	39	218	58.86	15.7	1.57	-1	-1	0
437	转换型B01	39	218	60.24	13.87	1.57	-1	-1	0
438	转换型B01	39	218	61.34	14.92	1.57	-1	-1	0
439	转换型B01	39	218	64.58	12.74	1.57	-1	-1	0
440	转换型B01	39	218	63.33	14.53	1.57	-1	-1	0
441	转换型B01	39	218	65.46	14.31	1.57	-1	-1	0
442	转换型B01	39	218	66.79	12.95	1.57	-1	-1	0
443	转换型B01	39	218	67.9	14.23	1.57	-1	-1	0
444	菲尔沦	39	219	56.61	25.02	-1.57	-1	-1	0
445	佩特伦	39	220	49.07	14.41	1.57	-1	-1	0
446	琳	39	221	47.51	13.37	1.57	-1	-1	0
447	乔安娜1	39	223	12.89	3.27	1.57	-1	-1	0
448	海因达	39	222	24.69	31.41	-1.57	-1	-1	0
449	机械巨猿	39	314	15.83	14.71	0	-1	-1	0
450	机械巨猿	39	314	15.91	16.52	0	-1	-1	0
451	机械巨猿	39	314	18.21	14.87	0	-1	-1	0
452	机械巨猿	39	314	18.51	16.93	0	-1	-1	0
453	机械巨猿	39	314	18.56	19.04	0	-1	-1	0
454	机械巨猿	39	314	18.75	20.85	0	-1	-1	0
455	机械巨猿	39	314	12.93	14.9	0	-1	-1	0
456	机械巨猿	39	314	21.16	15.57	0	-1	-1	0
457	机械巨猿	39	314	21.31	17.46	0	-1	-1	0
458	机械巨猿	39	314	21.12	19.44	0	-1	-1	0
459	机械巨猿	39	314	21.38	21.25	0	-1	-1	0
460	机械巨猿	39	314	21.47	23.08	0	-1	-1	0
461	机械巨猿	39	314	12.87	16.95	0	-1	-1	0
462	机械巨猿	39	314	12.68	12.5	0	-1	-1	0
463	机械巨猿	39	314	15.38	13.22	0	-1	-1	0
464	贝拉德里克斯	39	315	38.54	44.94	-1.57	-1	-1	0
465	里奇莱2	39	316	40.32	45.15	-1.57	-1	-1	0
466	乔安娜2	39	327	54.5	48.13	3.14	-1	-1	0
467	弗里德	39	328	36.5	71.28	-1.57	-1	-1	0
468	海因达	51	317	92.83	63.7	3.14	-1	-1	0
469	转换型B02	51	318	79.21	92.04	-1.57	-1	-1	0
470	转换型B02	51	318	81.78	91.35	-1.57	-1	-1	0
471	转换型B02	51	318	83.91	90.95	-1.57	-1	-1	0
472	转换型B02	51	318	86.47	89.24	-1.57	-1	-1	0
473	转换型B02	51	318	88.76	88.26	-1.57	-1	-1	0
474	转换型B02	51	318	90.55	86.04	-1.57	-1	-1	0
475	转换型B02	51	318	91.68	83.29	-1.57	-1	-1	0
476	转换型B02	51	318	79.32	89.39	-1.57	-1	-1	0
477	转换型B02	51	318	82.05	88.3	-1.57	-1	-1	0
478	转换型B02	51	318	83.91	87.49	-1.57	-1	-1	0
479	转换型B02	51	318	86.62	86.7	-1.57	-1	-1	0
480	转换型B02	51	318	88.77	85.03	-1.57	-1	-1	0
481	转换型B02	51	318	80.53	93.66	-1.57	-1	-1	0
482	转换型B02	51	318	84	92.6	-1.57	-1	-1	0
483	转换型B02	51	318	86.21	91.06	-1.57	-1	-1	0
484	转换型B02	51	318	88.4	89.9	-1.57	-1	-1	0
485	转换型B02	51	318	84.77	88.63	-1.57	-1	-1	0
486	转换型B02	51	318	82.78	89.72	-1.57	-1	-1	0
487	转换型B02	51	318	80.5	90.39	-1.57	-1	-1	0
488	转换型B02	51	318	82.16	92.86	-1.57	-1	-1	0
489	弗里德	51	321	5.63	45.1	0	-1	-1	0
490	菲尔沦	51	319	55.67	85.05	1.57	-1	-1	0
491	机械牛头怪	51	320	34.83	86.49	0	-1	-1	0
492	机械牛头怪	51	320	32.95	85.59	0	-1	-1	0
493	机械牛头怪	51	320	26.19	85.99	0	-1	-1	0
494	机械牛头怪	51	320	27.53	86.85	0	-1	-1	0
495	机械牛头怪	51	320	29.02	87.41	0	-1	-1	0
496	机械牛头怪	51	320	30.92	88.99	0	-1	-1	0
497	机械牛头怪	51	320	33.75	90.29	0	-1	-1	0
498	机械牛头怪	51	320	25.68	83.33	0	-1	-1	0
499	机械牛头怪	51	320	27.92	84.03	0	-1	-1	0
500	机械牛头怪	51	320	29.94	85.65	0	-1	-1	0
501	机械牛头怪	51	320	31.66	86.35	0	-1	-1	0
502	机械牛头怪	51	320	32.35	89.88	0	-1	-1	0
503	机械牛头怪	51	320	33.53	87.45	0	-1	-1	0
504	机械牛头怪	51	320	35.49	88.16	0	-1	-1	0
505	机械牛头怪	51	320	24.13	81.82	0	-1	-1	0
506	机械牛头怪	51	320	36.21	90.59	0	-1	-1	0
507	机械牛头怪	51	320	34.74	91.92	0	-1	-1	0
508	机械牛头怪	51	320	37.86	89.01	0	-1	-1	0
509	机械牛头怪	51	320	39.46	89.66	0	-1	-1	0
510	机械牛头怪	51	320	36.77	87.82	0	-1	-1	0
511	贝拉德里克斯	51	322	16.71	40.45	1.57	-1	-1	0
512	里奇莱	51	323	53.31	58.1	3.14	-1	-1	0
513	机器人	51	324	43.96	55.46	0	-1	-1	0
514	机器人	51	324	39.41	49.8	0	-1	-1	0
515	机器人	51	324	36.58	48.95	0	-1	-1	0
516	机器人	51	324	33.36	49.37	0	-1	-1	0
517	机器人	51	324	46.66	55.97	0	-1	-1	0
518	机器人	51	324	38.7	56.72	0	-1	-1	0
519	机器人	51	324	38.99	55.23	0	-1	-1	0
520	机器人	51	324	39.14	51.45	0	-1	-1	0
521	机器人	51	324	41.47	57.24	0	-1	-1	0
522	机器人	51	324	41.41	55.96	0	-1	-1	0
523	机器人	51	324	44.15	57.24	0	-1	-1	0
524	机器人	51	324	41.64	52.11	0	-1	-1	0
525	机器人	51	324	38.86	53.3	0	-1	-1	0
526	机器人	51	324	41.68	53.92	0	-1	-1	0
527	机器人	51	324	44.65	53.46	0	-1	-1	0
528	机器人	51	324	44.1	58.62	0	-1	-1	0
529	机器人	51	324	41.62	58.53	0	-1	-1	0
530	机器人	51	324	38.88	58.42	0	-1	-1	0
531	机器人	51	324	41.77	50.04	0	-1	-1	0
532	机器人	51	324	40.2	47.93	0	-1	-1	0
533	机器人	51	324	35	46.87	0	-1	-1	0
534	乔安娜	51	325	61.34	44	-1.57	-1	-1	0
535	罗塔	51	326	57.72	30.27	1.57	-1	-1	0
536	罗塔	51	326	60.94	30.42	1.57	-1	-1	0
537	罗塔	51	326	64	30.53	1.57	-1	-1	0
538	罗塔	51	326	67.06	30.69	1.57	-1	-1	0
539	罗塔	51	326	70.35	31.01	1.57	-1	-1	0
540	罗塔	51	326	57.65	26.91	1.57	-1	-1	0
541	罗塔	51	326	60.93	27.17	1.57	-1	-1	0
542	罗塔	51	326	64.21	27.32	1.57	-1	-1	0
543	罗塔	51	326	67.68	27.26	1.57	-1	-1	0
544	罗塔	51	326	73.05	32.87	1.57	-1	-1	0
545	罗塔	51	326	72.62	36.64	1.57	-1	-1	0
546	罗塔	51	326	70.35	34.26	1.57	-1	-1	0
547	罗塔	51	326	67.3	34.16	1.57	-1	-1	0
548	罗塔	51	326	63.91	33.9	1.57	-1	-1	0
549	罗塔	51	326	60.9	33.68	1.57	-1	-1	0
550	罗塔	51	326	57.9	33.74	1.57	-1	-1	0
551	乔安娜	43	1097	5.55	82.65	0	-1	-1	0
552	艾克	43	1098	22.49	87.03	-1.57	-1	-1	0
553	顶角狮	43	1099	34.95	71.55	1.57	-1	-1	0
554	顶角狮	43	1099	37.02	71.14	1.57	-1	-1	0
555	顶角狮	43	1099	38.57	69.13	1.57	-1	-1	0
556	顶角狮	43	1099	37.07	65.02	1.57	-1	-1	0
557	顶角狮	43	1099	34.42	64.02	1.57	-1	-1	0
558	顶角狮	43	1099	34.66	69.22	1.57	-1	-1	0
559	顶角狮	43	1099	32.78	65.59	1.57	-1	-1	0
560	顶角狮	43	1099	32.52	69.51	1.57	-1	-1	0
561	顶角狮	43	1099	33.79	73.22	1.57	-1	-1	0
562	顶角狮	43	1099	31.87	62.9	1.57	-1	-1	0
563	顶角狮	43	1099	31.68	66.95	1.57	-1	-1	0
564	顶角狮	43	1099	36.58	67.87	1.57	-1	-1	0
565	顶角狮	43	1099	29.91	68.33	1.57	-1	-1	0
566	顶角狮	43	1099	30.28	64.86	1.57	-1	-1	0
567	顶角狮	43	1099	27.87	68.82	1.57	-1	-1	0
568	顶角狮	43	1099	29.39	62.04	1.57	-1	-1	0
569	顶角狮	43	1099	28.56	65.21	1.57	-1	-1	0
570	顶角狮	43	1099	32.52	75.4	1.57	-1	-1	0
571	顶角狮	43	1099	30.56	74.36	1.57	-1	-1	0
572	顶角狮	43	1099	27.95	72.58	1.57	-1	-1	0
573	贝蕾格莉	43	1100	6.07	60.67	0	-1	-1	0
574	封印巨人	43	1101	23.5	33.25	1.57	-1	-1	0
575	封印巨人	43	1101	23.83	35.52	1.57	-1	-1	0
576	封印巨人	43	1101	23.71	31.08	1.57	-1	-1	0
577	封印巨人	43	1101	24.17	28.48	1.57	-1	-1	0
578	封印巨人	43	1101	20.48	35.1	1.57	-1	-1	0
579	封印巨人	43	1101	20.5	32.4	1.57	-1	-1	0
580	封印巨人	43	1101	20.85	29.93	1.57	-1	-1	0
581	封印巨人	43	1101	20.9	27.89	1.57	-1	-1	0
582	封印巨人	43	1101	23.47	26.32	1.57	-1	-1	0
583	封印巨人	43	1101	21.04	25.31	1.57	-1	-1	0
584	封印巨人	43	1101	19.93	37.15	1.57	-1	-1	0
585	封印巨人	43	1101	22.62	23.75	1.57	-1	-1	0
586	封印巨人	43	1101	25.56	34.32	1.57	-1	-1	0
587	封印巨人	43	1101	25.08	37.55	1.57	-1	-1	0
588	封印巨人	43	1101	25.54	32.19	1.57	-1	-1	0
589	封印巨人	43	1101	19.78	23.17	1.57	-1	-1	0
590	封印巨人	43	1101	22.71	21.44	1.57	-1	-1	0
591	封印巨人	43	1101	25.3	30.09	1.57	-1	-1	0
592	封印巨人	43	1101	20.38	20.85	1.57	-1	-1	0
593	封印巨人	43	1101	22.7	19.233	1.57	-1	-1	0
594	马修斯	43	1102	47.58	12.81	1.57	-1	-1	0
595	冰封铁匠	43	1103	59.77	21.4	0	-1	-1	0
596	冰封铁匠	43	1103	61.97	23.42	0	-1	-1	0
597	冰封铁匠	43	1103	58.41	20.16	0	-1	-1	0
598	冰封铁匠	43	1103	64.62	25.36	0	-1	-1	0
599	冰封铁匠	43	1103	61.14	24.04	0	-1	-1	0
600	冰封铁匠	43	1103	63.29	21.74	0	-1	-1	0
601	冰封铁匠	43	1103	61.82	20.78	0	-1	-1	0
602	冰封铁匠	43	1103	60.06	19.28	0	-1	-1	0
603	冰封铁匠	43	1103	67.13	26.57	0	-1	-1	0
604	冰封铁匠	43	1103	66.54	24.37	0	-1	-1	0
605	冰封铁匠	43	1103	65.52	22.67	0	-1	-1	0
606	冰封铁匠	43	1103	63.73	19.7	0	-1	-1	0
607	阿里奥奈尔	43	1104	78.47	45.7	3.14	-1	-1	0
608	尤安	43	1105	60.98	67.03	0	-1	-1	0
609	地狱猎犬	43	1106	77.7	69.02	3.14	-1	-1	0
610	地狱猎犬	43	1106	77.73	72.37	3.14	-1	-1	0
611	地狱猎犬	43	1106	80.93	67.72	3.14	-1	-1	0
612	地狱猎犬	43	1106	80.45	71.77	3.14	-1	-1	0
613	地狱猎犬	43	1106	73.66	67.27	3.14	-1	-1	0
614	地狱猎犬	43	1106	72.33	71.26	3.14	-1	-1	0
615	地狱猎犬	43	1106	75.02	73.33	3.14	-1	-1	0
616	地狱猎犬	43	1106	73.07	75.95	3.14	-1	-1	0
617	地狱猎犬	43	1106	74.92	69.4	3.14	-1	-1	0
618	地狱猎犬	43	1106	76.19	76.07	3.14	-1	-1	0
619	地狱猎犬	43	1106	79.02	74.86	3.14	-1	-1	0
620	地狱猎犬	43	1106	82.41	69.92	3.14	-1	-1	0
621	地狱猎犬	43	1106	81.55	74.97	3.14	-1	-1	0
622	地狱猎犬	43	1106	74.49	78.21	3.14	-1	-1	0
623	地狱猎犬	43	1106	77.53	78.34	3.14	-1	-1	0
624	地狱猎犬	43	1106	70.78	78.16	3.14	-1	-1	0
625	地狱猎犬	43	1106	69.61	75.15	3.14	-1	-1	0
626	地狱猎犬	43	1106	71.73	73.96	3.14	-1	-1	0
627	地狱猎犬	43	1106	75.77	81.1	3.14	-1	-1	0
628	地狱猎犬	43	1106	76.48	66.99	3.14	-1	-1	0
629	陨石巨人	39	1142	57.39	62.89	-1.57	-1	-1	0
630	失控A02	39	1143	29.57	74.2	0	-1	-1	0
631	失控A02	39	1143	27.49	75.25	0	-1	-1	0
632	失控A02	39	1143	28.48	76.42	0	-1	-1	0
633	失控A02	39	1143	29.16	78.7	0	-1	-1	0
634	失控A02	39	1143	29.92	75.99	0	-1	-1	0
635	失控A02	39	1143	28.92	81.14	0	-1	-1	0
636	失控A02	39	1143	31.73	75.15	0	-1	-1	0
637	失控A02	39	1143	30.78	77.55	0	-1	-1	0
638	失控A02	39	1143	28.7	83.4	0	-1	-1	0
639	失控A02	39	1143	30.67	79.69	0	-1	-1	0
640	失控A02	39	1143	30.68	81.92	0	-1	-1	0
641	失控A02	39	1143	30.17	84.09	0	-1	-1	0
642	失控A02	39	1143	28	84.98	0	-1	-1	0
643	失控A02	39	1143	27.34	73.83	0	-1	-1	0
644	琳	33	40	85.23	13.02	0	-1	-1	0
645	僵尸追兵	38	1148	28	55.78	0	-1	-1	0
646	僵尸追兵	38	1148	30.21	57.7	0	-1	-1	0
647	僵尸追兵	38	1148	22.02	43.05	0	-1	-1	0
648	僵尸追兵	38	1148	27.64	44.08	0	-1	-1	0
649	僵尸追兵	38	1148	23.11	40.5	0	-1	-1	0
650	僵尸追兵	38	1148	22.91	45.61	0	-1	-1	0
651	僵尸追兵	38	1148	25.17	48.07	0	-1	-1	0
652	僵尸追兵	38	1148	26.21	50.47	0	-1	-1	0
653	僵尸追兵	38	1148	27.96	53.08	0	-1	-1	0
654	僵尸追兵	38	1148	30.25	54.9	0	-1	-1	0
655	僵尸追兵	38	1148	31.71	52.56	0	-1	-1	0
656	僵尸追兵	38	1148	24.43	42.71	0	-1	-1	0
657	僵尸追兵	38	1148	26.44	45.59	0	-1	-1	0
658	僵尸追兵	38	1148	28.05	47.89	0	-1	-1	0
659	僵尸追兵	38	1148	28.62	50.62	0	-1	-1	0
660	机车-测试用	5	1151	13.63	42.92	0	-1	-1	0
