Id	Desc	Name	Icon	ModelId	FakeObjId	FellowType	BabyFellowId	EvolveLevel	ClassId	ElementAttr	BuyUseMoney	CallLevel	AttackType	FirstSkillId	BaseAttackDown_White	BaseAttackUp_White	BaseAttackDown_Green	BaseAttackUp_Green	BaseAttackDown_Blue	BaseAttackUp_Blue	BaseAttackDown_Purple	BaseAttackUp_Purple	BaseAttackDown_Orange	BaseAttackUp_Orange	BaseHitDown_White	BaseHitUp_White	BaseHitDown_Green	BaseHitUp_Green	BaseHitDown_Blue	BaseHitUp_Blue	BaseHitDown_Purple	BaseHitUp_Purple	BaseHitDown_Orange	BaseHitUp_Orange	BaseCriticalDown_White	BaseCriticalUp_White	BaseCriticalDown_Green	BaseCriticalUp_Green	BaseCriticalDown_Blue	BaseCriticalUp_Blue	BaseCriticalDown_Purple	BaseCriticalUp_Purple	BaseCriticalDown_Orange	BaseCriticalUp_Orange	BaseGuardDown_White	BaseGuardUp_White	BaseGuardDown_Green	BaseGuardUp_Green	BaseGuardDown_Blue	BaseGuardUp_Blue	BaseGuardDown_Purple	BaseGuardUp_Purple	BaseGuardDown_Orange	BaseGuardUp_Orange	BaseBlessDown_White	BaseBlessUp_White	BaseBlessDown_Green	BaseBlessUp_Green	BaseBlessDown_Blue	BaseBlessUp_Blue	BaseBlessDown_Purple	BaseBlessUp_Purple	BaseBlessDown_Orange	BaseBlessUp_Orange	LevelAddAttack	LevelAddHit	LevelAddCritical	LevelAddGuard	LevelAddBless	AttachAttackOffset	AttachHitOffset	AttachCriticalOffset	AttachGuardOffset	AttachBlessOffset	AttachAttackRatio	AttachHitRatio	AttachCriticalRatio	AttachGuardRatio	AttachBlessRatio	StarExp_White	StarExp_Green	StarExp_Blue	StarExp_Purple	StarExp_Orange	TallentSkillCount	TallentSkill1	TallentSkill2	TallentSkill3	TallentSkill4	TallentSkill5	Valible
43	宠物机器人_2变	变异机器人	petjiqiren	477	80	2	40	2	2	2	0	1	1	50000	142	192	-1	-1	-1	-1	-1	-1	-1	-1	11	15	-1	-1	-1	-1	-1	-1	-1	-1	9	12	-1	-1	-1	-1	-1	-1	-1	-1	18	24	-1	-1	-1	-1	-1	-1	-1	-1	31	42	-1	-1	-1	-1	-1	-1	-1	-1	49	4	3	6	11	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53301	0	0	0	0	0
44	宠物机器人_3变	变异机器人	petjiqiren	477	80	2	40	3	2	2	0	1	1	50000	-1	-1	190	257	-1	-1	-1	-1	-1	-1	-1	-1	14	19	-1	-1	-1	-1	-1	-1	-1	-1	12	16	-1	-1	-1	-1	-1	-1	-1	-1	24	32	-1	-1	-1	-1	-1	-1	-1	-1	42	56	-1	-1	-1	-1	-1	-1	66	5	4	8	14	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53301	0	0	0	0	0
45	宠物机器人_4变	变异机器人	petjiqiren	477	80	2	40	4	2	2	0	1	1	50000	-1	-1	267	362	-1	-1	-1	-1	-1	-1	-1	-1	20	27	-1	-1	-1	-1	-1	-1	-1	-1	17	23	-1	-1	-1	-1	-1	-1	-1	-1	34	46	-1	-1	-1	-1	-1	-1	-1	-1	58	79	-1	-1	-1	-1	-1	-1	92	7	6	12	20	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53301	0	0	0	0	0
46	宠物机器人_5变	变异机器人	petjiqiren	477	80	2	40	5	2	2	0	1	1	50000	-1	-1	-1	-1	383	518	-1	-1	-1	-1	-1	-1	-1	-1	29	39	-1	-1	-1	-1	-1	-1	-1	-1	24	33	-1	-1	-1	-1	-1	-1	-1	-1	48	65	-1	-1	-1	-1	-1	-1	-1	-1	84	113	-1	-1	-1	-1	132	10	8	17	29	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53301	0	0	0	0	0
47	宠物机器人_6变	变异机器人	petjiqiren	477	80	2	40	6	2	2	0	1	1	50000	-1	-1	-1	-1	546	739	-1	-1	-1	-1	-1	-1	-1	-1	41	56	-1	-1	-1	-1	-1	-1	-1	-1	34	47	-1	-1	-1	-1	-1	-1	-1	-1	69	93	-1	-1	-1	-1	-1	-1	-1	-1	119	162	-1	-1	-1	-1	188	14	12	24	41	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53301	0	0	0	0	0
48	宠物机器人_7变	高频机器人	petjiqiren	478	81	2	40	7	2	2	0	1	1	50000	-1	-1	-1	-1	-1	-1	767	1038	-1	-1	-1	-1	-1	-1	-1	-1	58	79	-1	-1	-1	-1	-1	-1	-1	-1	48	65	-1	-1	-1	-1	-1	-1	-1	-1	97	131	-1	-1	-1	-1	-1	-1	-1	-1	168	227	-1	-1	264	20	17	33	58	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53301	53401	0	0	0	0
49	宠物机器人_8变	高频机器人	petjiqiren	478	81	2	40	8	2	2	0	1	1	50000	-1	-1	-1	-1	-1	-1	1056	1428	-1	-1	-1	-1	-1	-1	-1	-1	80	108	-1	-1	-1	-1	-1	-1	-1	-1	67	90	-1	-1	-1	-1	-1	-1	-1	-1	133	180	-1	-1	-1	-1	-1	-1	-1	-1	231	312	-1	-1	364	28	23	46	80	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53301	53401	0	0	0	0
50	宠物机器人_9变	高频机器人	petjiqiren	478	81	2	40	9	2	2	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1421	1923	-1	-1	-1	-1	-1	-1	-1	-1	107	145	-1	-1	-1	-1	-1	-1	-1	-1	90	121	-1	-1	-1	-1	-1	-1	-1	-1	179	242	-1	-1	-1	-1	-1	-1	-1	-1	311	420	490	37	31	62	107	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53301	53401	0	0	0	0
51	宠物机器人_10变	高频机器人	petjiqiren	478	81	2	40	10	2	2	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1873	2534	-1	-1	-1	-1	-1	-1	-1	-1	142	192	-1	-1	-1	-1	-1	-1	-1	-1	118	160	-1	-1	-1	-1	-1	-1	-1	-1	236	319	-1	-1	-1	-1	-1	-1	-1	-1	409	554	645	49	41	81	141	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53301	53401	0	0	0	0
52	宠物德拉卡_宝宝	德拉卡宝宝	petdelaka	479	82	0	52	0	4	4	0	1	2	50000	86	117	-1	-1	-1	-1	-1	-1	-1	-1	7	9	-1	-1	-1	-1	-1	-1	-1	-1	10	13	-1	-1	-1	-1	-1	-1	-1	-1	13	17	-1	-1	-1	-1	-1	-1	-1	-1	14	19	-1	-1	-1	-1	-1	-1	-1	-1	30	2	3	4	5	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53001	0	0	0	0	1
53	宠物德拉卡_成年	成年德拉卡	petdelaka	479	82	1	52	0	4	4	0	1	2	50000	109	147	211	286	429	580	-1	-1	-1	-1	8	11	16	22	33	45	-1	-1	-1	-1	12	17	24	33	49	66	-1	-1	-1	-1	16	21	31	42	62	85	-1	-1	-1	-1	18	24	35	47	70	95	-1	-1	-1	-1	37	3	4	5	6	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53001	0	0	0	0	1
54	宠物德拉卡_1变	变异德拉卡	petdelaka	480	83	2	52	1	4	4	0	1	2	50000	104	141	-1	-1	-1	-1	-1	-1	-1	-1	8	11	-1	-1	-1	-1	-1	-1	-1	-1	12	16	-1	-1	-1	-1	-1	-1	-1	-1	15	21	-1	-1	-1	-1	-1	-1	-1	-1	17	23	-1	-1	-1	-1	-1	-1	-1	-1	36	3	4	5	6	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53001	0	0	0	0	0
55	宠物德拉卡_2变	变异德拉卡	petdelaka	480	83	2	52	2	4	4	0	1	2	50000	131	177	-1	-1	-1	-1	-1	-1	-1	-1	10	14	-1	-1	-1	-1	-1	-1	-1	-1	15	20	-1	-1	-1	-1	-1	-1	-1	-1	19	26	-1	-1	-1	-1	-1	-1	-1	-1	21	29	-1	-1	-1	-1	-1	-1	-1	-1	45	3	5	7	7	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53001	0	0	0	0	0
56	宠物德拉卡_3变	变异德拉卡	petdelaka	480	83	2	52	3	4	4	0	1	2	50000	-1	-1	176	238	-1	-1	-1	-1	-1	-1	-1	-1	14	18	-1	-1	-1	-1	-1	-1	-1	-1	20	27	-1	-1	-1	-1	-1	-1	-1	-1	26	35	-1	-1	-1	-1	-1	-1	-1	-1	29	39	-1	-1	-1	-1	-1	-1	61	5	7	9	10	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53001	0	0	0	0	0
57	宠物德拉卡_4变	变异德拉卡	petdelaka	480	83	2	52	4	4	4	0	1	2	50000	-1	-1	247	334	-1	-1	-1	-1	-1	-1	-1	-1	19	26	-1	-1	-1	-1	-1	-1	-1	-1	28	38	-1	-1	-1	-1	-1	-1	-1	-1	36	49	-1	-1	-1	-1	-1	-1	-1	-1	40	55	-1	-1	-1	-1	-1	-1	85	7	10	12	14	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53001	0	0	0	0	0
58	宠物德拉卡_5变	变异德拉卡	petdelaka	480	83	2	52	5	4	4	0	1	2	50000	-1	-1	-1	-1	353	478	-1	-1	-1	-1	-1	-1	-1	-1	27	37	-1	-1	-1	-1	-1	-1	-1	-1	40	54	-1	-1	-1	-1	-1	-1	-1	-1	51	70	-1	-1	-1	-1	-1	-1	-1	-1	58	78	-1	-1	-1	-1	122	9	14	18	20	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53001	0	0	0	0	0
59	宠物德拉卡_6变	变异德拉卡	petdelaka	480	83	2	52	6	4	4	0	1	2	50000	-1	-1	-1	-1	504	682	-1	-1	-1	-1	-1	-1	-1	-1	39	53	-1	-1	-1	-1	-1	-1	-1	-1	57	78	-1	-1	-1	-1	-1	-1	-1	-1	73	99	-1	-1	-1	-1	-1	-1	-1	-1	83	112	-1	-1	-1	-1	174	13	20	25	28	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53001	0	0	0	0	0
60	宠物德拉卡_7变	高级变异德拉卡	petdelaka	480	83	2	52	7	4	4	0	1	2	50000	-1	-1	-1	-1	-1	-1	708	958	-1	-1	-1	-1	-1	-1	-1	-1	55	74	-1	-1	-1	-1	-1	-1	-1	-1	81	109	-1	-1	-1	-1	-1	-1	-1	-1	103	140	-1	-1	-1	-1	-1	-1	-1	-1	116	157	-1	-1	244	19	28	36	40	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53001	53201	0	0	0	0
61	宠物德拉卡_8变	高级变异德拉卡	petdelaka	480	83	2	52	8	4	4	0	1	2	50000	-1	-1	-1	-1	-1	-1	975	1319	-1	-1	-1	-1	-1	-1	-1	-1	75	102	-1	-1	-1	-1	-1	-1	-1	-1	111	150	-1	-1	-1	-1	-1	-1	-1	-1	142	192	-1	-1	-1	-1	-1	-1	-1	-1	160	216	-1	-1	336	26	38	49	55	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53001	53201	0	0	0	0
62	宠物德拉卡_9变	高级变异德拉卡	petdelaka	480	83	2	52	9	4	4	0	1	2	50000	-1	-1	-1	-1	-1	-1	-1	-1	1312	1775	-1	-1	-1	-1	-1	-1	-1	-1	102	137	-1	-1	-1	-1	-1	-1	-1	-1	149	202	-1	-1	-1	-1	-1	-1	-1	-1	191	259	-1	-1	-1	-1	-1	-1	-1	-1	215	291	452	35	51	66	74	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53001	53201	0	0	0	0
63	宠物德拉卡_10变	高级变异德拉卡	petdelaka	480	83	2	52	10	4	4	0	1	2	50000	-1	-1	-1	-1	-1	-1	-1	-1	1729	2339	-1	-1	-1	-1	-1	-1	-1	-1	134	181	-1	-1	-1	-1	-1	-1	-1	-1	197	266	-1	-1	-1	-1	-1	-1	-1	-1	252	341	-1	-1	-1	-1	-1	-1	-1	-1	283	383	596	46	68	87	98	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	53001	53201	0	0	0	0
64	宠物野猪-1变	变异野猪	petconglinyezhu	481	84	2	14	1	3	3	0	1	1	50000	78	106	-1	-1	-1	-1	-1	-1	-1	-1	11	15	-1	-1	-1	-1	-1	-1	-1	-1	10	13	-1	-1	-1	-1	-1	-1	-1	-1	19	26	-1	-1	-1	-1	-1	-1	-1	-1	17	23	-1	-1	-1	-1	-1	-1	-1	-1	27	4	3	7	6	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54401	0	0	0	0	0
65	宠物野猪-2变	变异野猪	petconglinyezhu	481	84	2	14	2	3	3	0	1	1	50000	98	133	-1	-1	-1	-1	-1	-1	-1	-1	14	19	-1	-1	-1	-1	-1	-1	-1	-1	12	16	-1	-1	-1	-1	-1	-1	-1	-1	24	32	-1	-1	-1	-1	-1	-1	-1	-1	21	29	-1	-1	-1	-1	-1	-1	-1	-1	34	5	4	8	7	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54401	0	0	0	0	0
66	宠物野猪-3变	变异野猪	petconglinyezhu	481	84	2	14	3	3	3	0	1	1	50000	-1	-1	132	178	-1	-1	-1	-1	-1	-1	-1	-1	19	26	-1	-1	-1	-1	-1	-1	-1	-1	16	22	-1	-1	-1	-1	-1	-1	-1	-1	32	43	-1	-1	-1	-1	-1	-1	-1	-1	29	39	-1	-1	-1	-1	-1	-1	45	7	6	11	10	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54401	0	0	0	0	0
67	宠物野猪-4变	变异野猪	petconglinyezhu	481	84	2	14	4	3	3	0	1	1	50000	-1	-1	185	250	-1	-1	-1	-1	-1	-1	-1	-1	27	36	-1	-1	-1	-1	-1	-1	-1	-1	22	30	-1	-1	-1	-1	-1	-1	-1	-1	45	61	-1	-1	-1	-1	-1	-1	-1	-1	40	55	-1	-1	-1	-1	-1	-1	64	9	8	15	14	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54401	0	0	0	0	0
68	宠物野猪-5变	变异野猪	petconglinyezhu	481	84	2	14	5	3	3	0	1	1	50000	-1	-1	-1	-1	265	359	-1	-1	-1	-1	-1	-1	-1	-1	39	52	-1	-1	-1	-1	-1	-1	-1	-1	32	44	-1	-1	-1	-1	-1	-1	-1	-1	64	87	-1	-1	-1	-1	-1	-1	-1	-1	58	78	-1	-1	-1	-1	91	13	11	22	20	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54401	0	0	0	0	0
69	宠物野猪-6变	变异野猪	petconglinyezhu	481	84	2	14	6	3	3	0	1	1	50000	-1	-1	-1	-1	378	512	-1	-1	-1	-1	-1	-1	-1	-1	55	75	-1	-1	-1	-1	-1	-1	-1	-1	46	62	-1	-1	-1	-1	-1	-1	-1	-1	92	124	-1	-1	-1	-1	-1	-1	-1	-1	83	112	-1	-1	-1	-1	130	19	16	32	28	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54401	0	0	0	0	0
70	宠物野猪-7变	高级变异野猪	petconglinyezhu	481	84	2	14	7	3	3	0	1	1	50000	-1	-1	-1	-1	-1	-1	531	719	-1	-1	-1	-1	-1	-1	-1	-1	77	105	-1	-1	-1	-1	-1	-1	-1	-1	64	87	-1	-1	-1	-1	-1	-1	-1	-1	129	175	-1	-1	-1	-1	-1	-1	-1	-1	116	157	-1	-1	183	27	22	44	40	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54401	54501	0	0	0	0
71	宠物野猪-8变	高级变异野猪	petconglinyezhu	481	84	2	14	8	3	3	0	1	1	50000	-1	-1	-1	-1	-1	-1	731	989	-1	-1	-1	-1	-1	-1	-1	-1	106	144	-1	-1	-1	-1	-1	-1	-1	-1	89	120	-1	-1	-1	-1	-1	-1	-1	-1	177	240	-1	-1	-1	-1	-1	-1	-1	-1	160	216	-1	-1	252	37	31	61	55	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54401	54501	0	0	0	0
72	宠物野猪-9变	高级变异野猪	petconglinyezhu	481	84	2	14	9	3	3	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	984	1331	-1	-1	-1	-1	-1	-1	-1	-1	143	194	-1	-1	-1	-1	-1	-1	-1	-1	119	162	-1	-1	-1	-1	-1	-1	-1	-1	239	323	-1	-1	-1	-1	-1	-1	-1	-1	215	291	339	49	41	82	74	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54401	54501	0	0	0	0
73	宠物野猪-10变	高级变异野猪	petconglinyezhu	481	84	2	14	10	3	3	0	1	1	50000	-1	-1	-1	-1	-1	-1	-1	-1	1297	1754	-1	-1	-1	-1	-1	-1	-1	-1	189	256	-1	-1	-1	-1	-1	-1	-1	-1	157	213	-1	-1	-1	-1	-1	-1	-1	-1	315	426	-1	-1	-1	-1	-1	-1	-1	-1	283	383	447	65	54	108	98	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54401	54501	0	0	0	0
74	宠物嘻哈企鹅_宝宝	嘻哈企鹅宝宝	petxihaqie	482	85	0	74	0	1	1	0	1	2	50000	65	88	-1	-1	-1	-1	-1	-1	-1	-1	10	13	-1	-1	-1	-1	-1	-1	-1	-1	6	7	-1	-1	-1	-1	-1	-1	-1	-1	14	19	-1	-1	-1	-1	-1	-1	-1	-1	20	27	-1	-1	-1	-1	-1	-1	-1	-1	22	3	2	5	7	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	50100	0	0	0	0	0
75	宠物嘻哈企鹅_成年	成年嘻哈企鹅	petxihaqie	482	85	1	74	0	1	1	0	1	2	50000	82	110	158	214	322	435	-1	-1	-1	-1	12	17	24	33	49	66	-1	-1	-1	-1	7	9	13	18	27	37	-1	-1	-1	-1	18	24	35	47	70	95	-1	-1	-1	-1	25	33	48	65	98	132	-1	-1	-1	-1	28	4	2	6	9	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	50100	0	0	0	0	0
76	宠物嘻哈企鹅_1变	变异嘻哈企鹅	petxihaqie	483	86	2	74	1	1	1	0	1	2	50000	78	106	-1	-1	-1	-1	-1	-1	-1	-1	12	16	-1	-1	-1	-1	-1	-1	-1	-1	7	9	-1	-1	-1	-1	-1	-1	-1	-1	17	23	-1	-1	-1	-1	-1	-1	-1	-1	24	32	-1	-1	-1	-1	-1	-1	-1	-1	27	4	2	6	8	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	50100	0	0	0	0	0
77	宠物嘻哈企鹅_2变	变异嘻哈企鹅	petxihaqie	483	86	2	74	2	1	1	0	1	2	50000	98	133	-1	-1	-1	-1	-1	-1	-1	-1	15	20	-1	-1	-1	-1	-1	-1	-1	-1	8	11	-1	-1	-1	-1	-1	-1	-1	-1	21	29	-1	-1	-1	-1	-1	-1	-1	-1	30	40	-1	-1	-1	-1	-1	-1	-1	-1	34	5	3	7	10	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	50100	0	0	0	0	0
78	宠物嘻哈企鹅_3变	变异嘻哈企鹅	petxihaqie	483	86	2	74	3	1	1	0	1	2	50000	-1	-1	132	178	-1	-1	-1	-1	-1	-1	-1	-1	20	27	-1	-1	-1	-1	-1	-1	-1	-1	11	15	-1	-1	-1	-1	-1	-1	-1	-1	29	39	-1	-1	-1	-1	-1	-1	-1	-1	40	54	-1	-1	-1	-1	-1	-1	45	7	4	10	14	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	50100	0	0	0	0	0
79	宠物嘻哈企鹅_4变	变异嘻哈企鹅	petxihaqie	483	86	2	74	4	1	1	0	1	2	50000	-1	-1	185	250	-1	-1	-1	-1	-1	-1	-1	-1	28	38	-1	-1	-1	-1	-1	-1	-1	-1	16	21	-1	-1	-1	-1	-1	-1	-1	-1	40	55	-1	-1	-1	-1	-1	-1	-1	-1	56	76	-1	-1	-1	-1	-1	-1	64	10	5	14	19	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	50100	0	0	0	0	0
80	宠物嘻哈企鹅_5变	变异嘻哈企鹅	petxihaqie	483	86	2	74	5	1	1	0	1	2	50000	-1	-1	-1	-1	265	359	-1	-1	-1	-1	-1	-1	-1	-1	40	54	-1	-1	-1	-1	-1	-1	-1	-1	23	30	-1	-1	-1	-1	-1	-1	-1	-1	58	78	-1	-1	-1	-1	-1	-1	-1	-1	80	109	-1	-1	-1	-1	91	14	8	20	28	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	50100	0	0	0	0	0
81	宠物嘻哈企鹅_6变	变异嘻哈企鹅	petxihaqie	483	86	2	74	6	1	1	0	1	2	50000	-1	-1	-1	-1	378	512	-1	-1	-1	-1	-1	-1	-1	-1	57	78	-1	-1	-1	-1	-1	-1	-1	-1	32	43	-1	-1	-1	-1	-1	-1	-1	-1	83	112	-1	-1	-1	-1	-1	-1	-1	-1	115	155	-1	-1	-1	-1	130	20	11	28	40	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	50100	0	0	0	0	0
82	宠物嘻哈企鹅_7变	高级变异嘻哈企鹅	petxihaqie	483	86	2	74	7	1	1	0	1	2	50000	-1	-1	-1	-1	-1	-1	531	719	-1	-1	-1	-1	-1	-1	-1	-1	81	109	-1	-1	-1	-1	-1	-1	-1	-1	45	61	-1	-1	-1	-1	-1	-1	-1	-1	116	157	-1	-1	-1	-1	-1	-1	-1	-1	161	218	-1	-1	183	28	16	40	56	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	50100	0	0	0	0	0
83	宠物嘻哈企鹅_8变	高级变异嘻哈企鹅	petxihaqie	483	86	2	74	8	1	1	0	1	2	50000	-1	-1	-1	-1	-1	-1	731	989	-1	-1	-1	-1	-1	-1	-1	-1	111	150	-1	-1	-1	-1	-1	-1	-1	-1	62	84	-1	-1	-1	-1	-1	-1	-1	-1	160	216	-1	-1	-1	-1	-1	-1	-1	-1	222	300	-1	-1	252	38	21	55	76	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	50100	0	0	0	0	0
84	宠物嘻哈企鹅_9变	高级变异嘻哈企鹅	petxihaqie	483	86	2	74	9	1	1	0	1	2	50000	-1	-1	-1	-1	-1	-1	-1	-1	984	1331	-1	-1	-1	-1	-1	-1	-1	-1	149	202	-1	-1	-1	-1	-1	-1	-1	-1	84	113	-1	-1	-1	-1	-1	-1	-1	-1	215	291	-1	-1	-1	-1	-1	-1	-1	-1	299	404	339	51	29	74	103	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	50100	0	0	0	0	0
85	宠物嘻哈企鹅_10变	高级变异嘻哈企鹅	petxihaqie	483	86	2	74	10	1	1	0	1	2	50000	-1	-1	-1	-1	-1	-1	-1	-1	1297	1754	-1	-1	-1	-1	-1	-1	-1	-1	197	266	-1	-1	-1	-1	-1	-1	-1	-1	110	149	-1	-1	-1	-1	-1	-1	-1	-1	283	383	-1	-1	-1	-1	-1	-1	-1	-1	394	532	447	68	38	98	136	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	50100	0	0	0	0	0
86	宠物紫糯米_宝宝	紫糯米宝宝	petzinuomi	484	87	0	86	0	1	1	0	1	2	50000	65	88	-1	-1	-1	-1	-1	-1	-1	-1	10	13	-1	-1	-1	-1	-1	-1	-1	-1	6	7	-1	-1	-1	-1	-1	-1	-1	-1	14	19	-1	-1	-1	-1	-1	-1	-1	-1	20	27	-1	-1	-1	-1	-1	-1	-1	-1	22	3	2	5	7	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54001	0	0	0	0	1
87	宠物紫糯米_成年	成年紫糯米	petzinuomi	484	87	1	86	0	1	1	0	1	2	50000	82	110	158	214	322	435	-1	-1	-1	-1	12	17	24	33	49	66	-1	-1	-1	-1	7	9	13	18	27	37	-1	-1	-1	-1	18	24	35	47	70	95	-1	-1	-1	-1	25	33	48	65	98	132	-1	-1	-1	-1	28	4	2	6	9	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54001	0	0	0	0	1
88	宠物紫糯米_1变	变异紫糯米	petzinuomi	485	88	2	86	1	1	1	0	1	2	50000	78	106	-1	-1	-1	-1	-1	-1	-1	-1	12	16	-1	-1	-1	-1	-1	-1	-1	-1	7	9	-1	-1	-1	-1	-1	-1	-1	-1	17	23	-1	-1	-1	-1	-1	-1	-1	-1	24	32	-1	-1	-1	-1	-1	-1	-1	-1	27	4	2	6	8	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54001	0	0	0	0	0
89	宠物紫糯米_2变	变异紫糯米	petzinuomi	485	88	2	86	2	1	1	0	1	2	50000	98	133	-1	-1	-1	-1	-1	-1	-1	-1	15	20	-1	-1	-1	-1	-1	-1	-1	-1	8	11	-1	-1	-1	-1	-1	-1	-1	-1	21	29	-1	-1	-1	-1	-1	-1	-1	-1	30	40	-1	-1	-1	-1	-1	-1	-1	-1	34	5	3	7	10	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54001	0	0	0	0	0
90	宠物紫糯米_3变	变异紫糯米	petzinuomi	485	88	2	86	3	1	1	0	1	2	50000	-1	-1	132	178	-1	-1	-1	-1	-1	-1	-1	-1	20	27	-1	-1	-1	-1	-1	-1	-1	-1	11	15	-1	-1	-1	-1	-1	-1	-1	-1	29	39	-1	-1	-1	-1	-1	-1	-1	-1	40	54	-1	-1	-1	-1	-1	-1	45	7	4	10	14	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54001	0	0	0	0	0
91	宠物紫糯米_4变	变异紫糯米	petzinuomi	485	88	2	86	4	1	1	0	1	2	50000	-1	-1	185	250	-1	-1	-1	-1	-1	-1	-1	-1	28	38	-1	-1	-1	-1	-1	-1	-1	-1	16	21	-1	-1	-1	-1	-1	-1	-1	-1	40	55	-1	-1	-1	-1	-1	-1	-1	-1	56	76	-1	-1	-1	-1	-1	-1	64	10	5	14	19	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54001	0	0	0	0	0
92	宠物紫糯米_5变	变异紫糯米	petzinuomi	485	88	2	86	5	1	1	0	1	2	50000	-1	-1	-1	-1	265	359	-1	-1	-1	-1	-1	-1	-1	-1	40	54	-1	-1	-1	-1	-1	-1	-1	-1	23	30	-1	-1	-1	-1	-1	-1	-1	-1	58	78	-1	-1	-1	-1	-1	-1	-1	-1	80	109	-1	-1	-1	-1	91	14	8	20	28	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54001	0	0	0	0	0
93	宠物紫糯米_6变	变异紫糯米	petzinuomi	485	88	2	86	6	1	1	0	1	2	50000	-1	-1	-1	-1	378	512	-1	-1	-1	-1	-1	-1	-1	-1	57	78	-1	-1	-1	-1	-1	-1	-1	-1	32	43	-1	-1	-1	-1	-1	-1	-1	-1	83	112	-1	-1	-1	-1	-1	-1	-1	-1	115	155	-1	-1	-1	-1	130	20	11	28	40	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54001	0	0	0	0	0
94	宠物紫糯米_7变	高级变异紫糯米	petzinuomi	485	88	2	86	7	1	1	0	1	2	50000	-1	-1	-1	-1	-1	-1	531	719	-1	-1	-1	-1	-1	-1	-1	-1	81	109	-1	-1	-1	-1	-1	-1	-1	-1	45	61	-1	-1	-1	-1	-1	-1	-1	-1	116	157	-1	-1	-1	-1	-1	-1	-1	-1	161	218	-1	-1	183	28	16	40	56	0	8000	500	0	0	100	100	100	100	100	10	20	30	40	50	1	54001	54101	0	0	0	0
